Title,Item Description,Hyperlink,Date,Contributor
Cat song,"Notated Music. From: The Wager, or, The masked ball : The Masked ball. Staff notation. (Language).",Cat song,: 1879,"Barnard, Charles - Mollenhauer, Edward"
The cat,1 print : col. lithograph ; 33 x 55 cm.,The cat,: 1956,"Barnet, Will"
Witches' cat,1 print : col. woodcut ; 38.3 x 29.5 cm.,Witches' cat,: 1951,"Eichenberg, Fritz"
Emmons cat [woman and cat],1 negative : glass ; 5 x 7 in.,Emmons cat [woman and cat],: 1894,"C.M. Bell (Firm : Washington, D.C.)"
"Jeremiah the cat,",Also available in digital form.,"Jeremiah the cat,",: 1939,"Culp, William Maurice"
"Sooty, an aristocratic cat,","Illustrated lining-papers. ""Lithographed."" ""Junior press books."" Also available in digital form.","Sooty, an aristocratic cat,",: 1935,"Hurcum, Ambrosina"
Cat tales in verse.,Also available in digital form.,Cat tales in verse.,: 1900,"Walker, Elliot"
Yard of cats,1 print : chromolithograph ; sheet 92 x 122 cm. or less.,Yard of cats,: 1895,
Yard of cats,1 print : chromolithograph ; sheet 92 x 122 cm. or less.,Yard of cats,: 1893,
The cat - Felis domesticus,"1 print : color lithograph ; sheet 27.9 x 35.6 cm. | Print shows a left side view of a domestic cat, full-length, lying down, faceing front, with one paw resting on a ball of yarn; also shows ""eye in sunlilght"" and ""eye at night"", ""teeth of cat family"", ""tongue of cat family"", ""claw drawn back"", and ""claw thrust out"".",The cat - Felis domesticus,: 1872,L. Prang & Co.
The black cat,1 print : engraving. | Black cat on head of woman.,The black cat,: 1901,"Beardsley, Aubrey"
[Mother cat and kittens],"1 print : wood engraving ; 5.2 x 7.2 cm (image), 10.4 x 12.9 cm (sheet) | Print shows a cat with three kittens.",[Mother cat and kittens],: 1810,"Anderson, Alexander"
Cat and kittens,"1 print : chromolithograph ; sheet 31.6 x 22.3 cm. | Print shows a cat with three kittens at a green food or water dish, with a basket of straw in a room where the floor is also strewn with straw.",Cat and kittens,: 1867,"Ronner, Henriette - Schaus, W. (William)"
"The Black Cat, December","1 print : color ; sheet 30 x 24 cm (poster format) | Poster shows a black cat wearing a collar with a ""5 cents"" charm as the cover illustration for The Black Cat for December.","The Black Cat, December",: 1890,
Treatise on Cats.,"This manuscript containing fine paintings of cats is in the format of a samut khoi (Thai folding book) with 12 folios, which open from top to bottom. It was produced in the 19th century in central Thailand. Folding books were usually made from the bark of mulberry trees; minerals, plant liquids, and occasionally materials imported from China and Europe were used as paints. Sometimes...",Treatise on Cats.,: 1800,
[Two domestic cats fighting],1 print : lithograph ; 23.2 x 31.5 cm (sheet),[Two domestic cats fighting],: 1820,"Brodtmann, Joseph - Mind, Gottfried"
[College girl walking cats],1 print : photomechanical ; sheet 92 x 122 cm. or less.,[College girl walking cats],: 1905,
"[Cat, curled up]",1 drawing : charcoal.,"[Cat, curled up]",: 1870,"Stephens, Alice Barber"
Sketches from cat life,1 drawing : pen and ink.,Sketches from cat life,: 1885,"Stephens, Alice Barber"
Hon[orable Mr] cat,"1 print on white wove tissue paper : woodcut, color ; 21.7 x 9.6 cm. (block), 26.8 x 19.2 cm. (sheet) | Print shows a young Japanese girl carrying a cat, walking in the rain under an umbrella held by an adult.",Hon[orable Mr] cat,: 1903,"Hyde, Helen"
"Cats posed in pots
                
            
        

        
        
        

            Catalog Record - Electronic Resource Available","6 photographic prints on stereo cards : stereograph, albumen ; 9 x 18 cm. | Photographs show a series of humorous photographs of cats posed with props.",Cats posed in pots,: 1871,"Lyman, Frank"
